GROUP,INDICATOR,LABEL,TYPE
Survey,resp1,Respondent : SUBJECT,Proportion
Survey,resp2,Respondent : FAMILY CARER,Proportion
Survey,resp3,Respondent : OTHER CARER,Proportion
Survey,resp4,Respondent : OTHER,Proportion
Demography and situation,age,Mean self-reported age of subject (years),Mean
Demography and situation,ageGrp1,Self-reported age between 50 and 59 years,Proportion
Demography and situation,ageGrp2,Self-reported age between 60 and 69 years,Proportion
Demography and situation,ageGrp3,Self-reported age between 70 and 79 years,Proportion
Demography and situation,ageGrp4,Self-reported age between 80 and 89 years,Proportion
Demography and situation,ageGrp5,Self-reported age 90 years or older,Proportion
Demography and situation,sex1,Sex : MALE,Proportion
Demography and situation,sex2,Sex : FEMALE,Proportion
Demography and situation,marital1,Marital status : SINGLE (NEVER MARRIED),Proportion
Demography and situation,marital2,Marital status : MARRIED,Proportion
Demography and situation,marital3,Marital status : LIVING TOGETHER,Proportion
Demography and situation,marital4,Marital status : DIVORCED,Proportion
Demography and situation,marital5,Marital status : WIDOWED,Proportion
Demography and situation,marital6,Marital status : OTHER,Proportion
Demography and situation,alone,Subject lives alone,Proportion
Diet,MF,Meal frequency (i.e. number of meals and snacks in previous 24 hours),Mean
Diet,DDS,Dietary diversity (count from 11 food groups),Mean
Diet,FG01,Consumed CEREALS (in previous 24 hours),Proportion
Diet,FG02,Consumed ROOTS / TUBERS (in previous 24 hours),Proportion
Diet,FG03,Consumed FRUITS / VEGETABLES (in previous 24 hours),Proportion
Diet,FG04,Consumed MEAT (in previous 24 hours),Proportion
Diet,FG05,Consumed EGGS (in previous 24 hours),Proportion
Diet,FG06,Consumed FISH (in previous 24 hours),Proportion
Diet,FG07,Consumed LEGUMES / NUTS / SEEDS (in previous 24 hours),Proportion
Diet,FG08,Consumed MILK / MILK PRODUCTS (in previous 24 hours),Proportion
Diet,FG09,Consumed FATS (in previous 24 hours),Proportion
Diet,FG10,Consumed SUGARS (in previous 24 hours),Proportion
Diet,FG11,Consumed OTHER (in previous 24 hours),Proportion
Nutrients,proteinRich,PROTEIN rich foods in diet,Proportion
Nutrients,pProtein,Protein rich plant sources of protein in diet,Proportion
Nutrients,aProtein,Protein rich animal sources of protein in diet,Proportion
