"","INDICATOR","LCL.ALL","EST.ALL","UCL.ALL","LCL.MALES","EST.MALES","UCL.MALES","LCL.FEMALES","EST.FEMALES","UCL.FEMALES","GROUP","LABEL","TYPE"
"90","resp1",0.807291666666667,0.875,0.896875,0.755873015873016,0.846153846153846,0.924748923959828,0.815485564304462,0.889830508474576,0.908041958041958,"Survey","Respondent : SUBJECT","Proportion"
"91","resp2",0.0645833333333333,0.0989583333333333,0.123958333333333,0.0302689180737961,0.075,0.109059763989341,0.0500142490738102,0.0973451327433628,0.160061242344707,"Survey","Respondent : FAMILY CARER","Proportion"
"92","resp3",0.015625,0.0260416666666667,0.0572916666666667,0.015161502966381,0.0588235294117647,0.127301587301587,0.00830648550217117,0.0265486725663717,0.0407501589319771,"Survey","Respondent : OTHER CARER","Proportion"
"93","resp4",0.00208333333333333,0.015625,0.0260416666666667,0,0.0135135135135135,0.0546031746031746,0,0,0.0137931034482759,"Survey","Respondent : OTHER","Proportion"
"7","age",70.8875,71.4479166666667,72.3104166666667,68.8669918699187,70.5064935064935,73.4371168185584,68.1151425762045,69.2892561983471,71.186872353297,"Demography and situation","Mean self-reported age of subject (years)","Mean"
"8","ageGrp1",0,0,0,0,0,0,0,0,0,"Demography and situation","Self-reported age between 50 and 59 years","Proportion"
"9","ageGrp2",0.453125,0.510416666666667,0.554166666666667,0.36184012066365,0.514285714285714,0.660627177700349,0.5173018753781,0.628099173553719,0.724898755062247,"Demography and situation","Self-reported age between 60 and 69 years","Proportion"
"10","ageGrp3",0.204166666666667,0.229166666666667,0.295833333333333,0.163826417484954,0.322222222222222,0.45031185031185,0.126233688315584,0.192307692307692,0.238287261328014,"Demography and situation","Self-reported age between 70 and 79 years","Proportion"
"11","ageGrp4",0.1375,0.182291666666667,0.254166666666667,0.0750915750915751,0.122222222222222,0.210273405136703,0.130149984695439,0.15702479338843,0.244568151147099,"Demography and situation","Self-reported age between 80 and 89 years","Proportion"
"12","ageGrp5",0.0239583333333333,0.0520833333333333,0.0927083333333333,0.0115915915915916,0.0571428571428571,0.089628681177977,0,0.0165289256198347,0.0343658679135009,"Demography and situation","Self-reported age 90 years or older","Proportion"
"97","sex1",0.341666666666667,0.375,0.451041666666667,1,1,1,0,0,0,"Demography and situation","Sex : MALE","Proportion"
"98","sex2",0.548958333333333,0.625,0.658333333333333,0,0,0,1,1,1,"Demography and situation","Sex : FEMALE","Proportion"
"76","marital1",0.015625,0.03125,0.0520833333333333,0,0.0125,0.0652032520325204,0.00933048433048433,0.0413223140495868,0.0972851357432129,"Demography and situation","Marital status : SINGLE (NEVER MARRIED)","Proportion"
"77","marital2",0.222916666666667,0.296875,0.352083333333333,0.316212338593974,0.5,0.651951951951952,0.100391474554154,0.188976377952756,0.262389380530973,"Demography and situation","Marital status : MARRIED","Proportion"
"78","marital3",0.0854166666666667,0.119791666666667,0.144791666666667,0.069059829059829,0.128571428571429,0.274390243902439,0.0346658529142508,0.0833333333333333,0.131314354936402,"Demography and situation","Marital status : LIVING TOGETHER","Proportion"
"79","marital4",0.0322916666666667,0.0677083333333333,0.0833333333333333,0.0367682926829268,0.0810810810810811,0.20715059588299,0.0195623342175066,0.0508474576271186,0.105417814508724,"Demography and situation","Marital status : DIVORCED","Proportion"
"80","marital5",0.4125,0.510416666666667,0.551041666666667,0.126565589980224,0.205128205128205,0.385179526355997,0.552081284824648,0.634615384615385,0.71831005984611,"Demography and situation","Marital status : WIDOWED","Proportion"
"81","marital6",0,0,0,0,0,0,0,0,0,"Demography and situation","Marital status : OTHER","Proportion"
"13","alone",0.0895833333333333,0.145833333333333,0.189583333333333,0.0777546777546778,0.117647058823529,0.185555555555556,0.0584345479082321,0.125984251968504,0.185123966942149,"Demography and situation","Subject lives alone","Proportion"
"82","MF",2.33125,2.60416666666667,2.73958333333333,2.43568953568954,2.59154929577465,2.80332594235033,2.54044818817546,2.70338983050847,2.84990253411306,"Diet","Meal frequency (i.e. number of meals and snacks in previous 24 hours)","Mean"
"21","DDS",4.33020833333333,4.58333333333333,4.790625,4.33941176470588,4.54929577464789,5.06871080139373,4.32937062937063,4.65740740740741,4.772401379931,"Diet","Dietary diversity (count from 11 food groups)","Mean"
"23","FG01",0.882291666666667,0.921875,0.952083333333333,0.87047619047619,0.911764705882353,0.982293316439658,0.863041902276352,0.923076923076923,0.964274008521796,"Diet","Consumed CEREALS (in previous 24 hours)","Proportion"
"24","FG02",0.45625,0.520833333333333,0.561458333333333,0.448496732026144,0.525641025641026,0.72,0.459585099939431,0.537190082644628,0.613762855414398,"Diet","Consumed ROOTS / TUBERS (in previous 24 hours)","Proportion"
"25","FG03",0.553125,0.59375,0.666666666666667,0.445357142857143,0.533333333333333,0.703445378151261,0.522271302365346,0.619834710743802,0.741972507673829,"Diet","Consumed FRUITS / VEGETABLES (in previous 24 hours)","Proportion"
"26","FG04",0.0333333333333333,0.0520833333333333,0.0989583333333334,0.0151344590368981,0.0571428571428571,0.117409617409617,0.0450136147038802,0.0689655172413793,0.111437341518751,"Diet","Consumed MEAT (in previous 24 hours)","Proportion"
