"spid","FNAME","COORD_X","COORD_Y","admin1Name","admin2Name","CLNAME","EFEACODE","villageID","vnumber","index_key"
1,"Pohkpa Village",-9.72628,5.60477,"Grand Bassa","District # 4","Grand Kola","0916007062","0101",13,1
1,"Gbueban Village",-9.72023,5.61651,"Grand Bassa","District # 4","Grand Kola","0916007052","0102",13,2
1,"Volugbo Village",-9.72694,5.62764,"Grand Bassa","District # 4","Grand Kola","0916007052","0103",13,3
1,"Chipay Village",-9.73227,5.6294,"Grand Bassa","District # 4","Grand Kola","0916007052","0104",13,4
1,"Karr Henry",-9.71053,5.63409,"Grand Bassa","District # 4","Grand Kola","0916007042","0105",13,5
1,"Dehyusaweh Village",-9.73194,5.64273,"Grand Bassa","District # 4","Grand Kola","0916007042","0106",13,6
1,"Jalaydaye",-9.69187,5.64664,"Grand Bassa","District # 4","Grand Kola","0916007042","0107",13,7
1,"Clayehyee",-9.70148,5.65351,"Grand Bassa","District # 4","Grand Kola","0916007042","0108",13,8
1,"David Villages",-9.72429,5.65512,"Grand Bassa","District # 4","Grand Kola","0916007032","0109",13,9
1,"Chadeh Village",-9.6853,5.65824,"Grand Bassa","District # 4","Grand Kola","0916007032","0110",13,10
1,"Peoland / Nemon",-9.718,5.66208,"Grand Bassa","District # 4","Grand Kola","0916007032","0111",13,11
1,"Worwein Vilage",-9.68174,5.66689,"Grand Bassa","District # 4","Grand Kola","0916007032","0112",13,12
1,"Readygar Village",-9.68456,5.67593,"Grand Bassa","District # 4","Grand Kola","0916007032","0113",13,13
2,"Dugboryewh Village",-9.90565,5.74634,"Grand Bassa","District # 4","Neetorn","0916001062","0201",13,14
2,"Goffa Village",-9.89284,5.75829,"Grand Bassa","District # 4","Neetorn","0916001062","0202",13,15
2,"Konoe Village",-9.89783,5.76464,"Grand Bassa","District # 4","Neetorn","0916001062","0203",13,16
2,"Naka",-9.91116,5.76609,"Grand Bassa","District # 4","Neetorn","0916001062","0204",13,17
2,"Neeter",-9.94942,5.76839,"Grand Bassa","District # 4","Neetorn","0916001062","0205",13,18
2,"Firestone Village",-9.94216,5.77114,"Grand Bassa","District # 4","Neetorn","0916001062","0206",13,19
2,"Sweet Gaye",-9.92269,5.77225,"Grand Bassa","District # 4","Neetorn","0916001062","0207",13,20
2,"Newcess",-9.97218,5.78926,"Grand Bassa","Neekreen","Harmonville","0910001072","0208",13,21
2,"Duah Village",-9.90553,5.79524,"Grand Bassa","District # 4","Neetorn","0916001092","0209",13,22
2,"Garmondeh / Troyea Vi",-9.89779,5.80032,"Grand Bassa","District # 4","Neetorn","0916001092","0210",13,23
2,"Gborgar Village",-9.94722,5.81269,"Grand Bassa","Neekreen","Harmonville","0910001072","0211",13,24
2,"Vaimah",-9.91928,5.81308,"Grand Bassa","District # 4","Neetorn","0916001092","0212",13,25
2,"Zardah",-9.93857,5.81346,"Grand Bassa","Neekreen","Harmonville","0910001072","0213",13,26
3,"Whea Village",-9.77521,5.7461,"Grand Bassa","District # 4","Little Kola","0916006052","0301",12,27
3,"Kodou Village",-9.76375,5.74661,"Grand Bassa","District # 4","Little Kola","0916006052","0302",12,28
3,"Portroyah Village",-9.76868,5.75021,"Grand Bassa","District # 4","Little Kola","0916006052","0303",12,29
3,"Sammie Village",-9.79094,5.75769,"Grand Bassa","District # 4","Jogbahn","0916009112","0304",12,30
3,"Zoepu Village",-9.78959,5.76082,"Grand Bassa","District # 4","Jogbahn","0916009112","0305",12,31
3,"Glaydor Village",-9.79015,5.7661,"Grand Bassa","District # 4","Jogbahn","0916009112","0306",12,32
3,"Gaye John",-9.75786,5.78181,"Grand Bassa","District # 4","Little Kola","0916006012","0307",12,33
3,"Borbor",-9.76599,5.78251,"Grand Bassa","District # 4","Little Kola","0916006012","0308",12,34
3,"Manneh",-9.76101,5.78272,"Grand Bassa","District # 4","Little Kola","0916006012","0309",12,35
3,"Jubia",-9.77356,5.78435,"Grand Bassa","District # 4","Jogbahn","0916009092","0310",12,36
3,"Borbor's Village",-9.77693,5.78834,"Grand Bassa","District # 4","Jogbahn","0916009092","0311",12,37
3,"Wralakfa",-9.77814,5.79209,"Grand Bassa","District # 4","Jogbahn","0916009092","0312",12,38
4,"Prayer",-9.99176,5.89524,"Grand Bassa","Neekreen","Harlardsville","0910003042","0401",13,39
