"OBJECTID","FNAME","CLASS","DESCRIPTIO","COORD_X","COORD_Y","admin1Name","admin1Pcod","admin2Name","admin2Pcod","admin0Name","admin0Pcod","rowcacode0","Pcod1_iso3","Pcod2_iso3","coords.x1","coords.x2","optional"
"1","Dololou",0,NA,-7.59613,4.35669,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.59612999999996,4.35669000000007,TRUE
"2","Cavalla Big Town Community",0,NA,-7.59187,4.36033,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.59186999999997,4.36033000000003,TRUE
"3","King Town Community",0,NA,-7.59564,4.36076,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.59563999999995,4.36076000000003,TRUE
"4","James Town",0,NA,-7.58371,4.36175,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.58370999999994,4.36175000000003,TRUE
"5","New Town Community",0,NA,-7.59735,4.36213,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.59734999999995,4.36213000000004,TRUE
"6","Kablaken",0,NA,-7.58411,4.36261,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.58410999999995,4.36261000000007,TRUE
"7","Kablakon",0,NA,-7.53384,4.36422,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.53383999999994,4.36422000000005,TRUE
"8","Whole Graway",0,NA,-7.62671,4.36458,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.62670999999995,4.36458000000005,TRUE
"9","Mission Town",0,NA,-7.59019,4.36624,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.59018999999995,4.36624000000006,TRUE
"10","King Budu",0,NA,-7.6528,4.36708,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.65279999999996,4.36708000000004,TRUE
"11","Half Graway",0,NA,-7.66248,4.36804,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.66247999999996,4.36804000000006,TRUE
"12","Woleken",0,NA,-7.55445,4.37314,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.55444999999997,4.37314000000003,TRUE
"13","Sedeken",0,NA,-7.55808,4.37428,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.55807999999996,4.37428000000006,TRUE
"14","Harper",2,"Capital of County",-7.71729,4.37575,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.71728999999993,4.37575000000004,TRUE
"15","Harper City",0,NA,-7.71347,4.37747,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.71346999999997,4.37747000000007,TRUE
"16","Spring Hill",0,NA,-7.66066,4.38034,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.66065999999995,4.38034000000005,TRUE
"17","Puluken",0,NA,-7.72952,4.38265,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.72951999999998,4.38265000000007,TRUE
"18","Dinyemilu",0,NA,-7.57145,4.39138,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.57144999999997,4.39138000000003,TRUE
"19","Ferguson",0,NA,-7.67442,4.39225,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.67441999999994,4.39225000000005,TRUE
"20","Rock Town",0,NA,-7.78258,4.39587,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.78257999999994,4.39587000000006,TRUE
"21","Mission Town",0,NA,-7.77939,4.3991,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.77938999999998,4.39910000000003,TRUE
"22","Pullah",0,NA,-7.64266,4.40261,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.64265999999998,4.40261000000004,TRUE
"23","Down Town",0,NA,-7.78251,4.40536,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.78250999999995,4.40536000000003,TRUE
"24","Middle Town",0,NA,-7.80026,4.41321,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.80025999999998,4.41321000000005,TRUE
"25","Ablison",0,NA,-7.60326,4.41546,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.60325999999998,4.41546000000005,TRUE
"26","Fish Town",0,NA,-7.82661,4.42124,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.82660999999996,4.42124000000007,TRUE
"27","Kiken",0,NA,-7.64969,4.42177,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.64968999999996,4.42177000000004,TRUE
"28","Mission Town",0,NA,-7.81805,4.42447,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.81804999999997,4.42447000000004,TRUE
"29","Nebley",0,NA,-7.63461,4.42799,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.63460999999995,4.42799000000002,TRUE
"30","Puein",0,NA,-7.66798,4.43396,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.66797999999994,4.43396000000007,TRUE
"31","Pedebo/Wuluplokudi",0,NA,-7.57054,4.43542,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.57053999999994,4.43542000000002,TRUE
"32","Pooseken",0,NA,-7.60569,4.43626,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.60568999999998,4.43626000000006,TRUE
"33","Duokudi Township",0,NA,-7.5518,4.43865,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.55179999999996,4.43865000000005,TRUE
"34","Hardwood",0,NA,-7.67724,4.44324,"Maryland","LR10","Pleebo/Sodoken","LR1006","Liberia","LR","LBR","LBR010","LBR010006",-7.67723999999993,4.44324000000006,TRUE
"35","Pullah/Pedebo",0,NA,-7.64254,4.44464,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.64253999999994,4.44464000000005,TRUE
"36","Giabo",0,NA,-7.69432,4.44534,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.69431999999995,4.44534000000004,TRUE
"37","Yookudi",0,NA,-7.60817,4.44683,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.60816999999997,4.44683000000003,TRUE
"38","Gbedikuken",0,NA,-7.58002,4.44805,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.58001999999993,4.44805000000002,TRUE
"39","Little Wlebo Mission Town New Town",0,NA,-7.7381,4.45455,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.73809999999997,4.45455000000004,TRUE
"40","Wamliken",0,NA,-7.74885,4.46025,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.74884999999995,4.46025000000003,TRUE
"41","Wamliken",0,NA,-7.56855,4.46249,"Maryland","LR10","Pleebo/Sodoken","LR1006","Liberia","LR","LBR","LBR010","LBR010006",-7.56854999999996,4.46249000000006,TRUE
"42","Yoopidi",0,NA,-7.60602,4.46572,"Maryland","LR10","Harper","LR1002","Liberia","LR","LBR","LBR010","LBR010002",-7.60601999999994,4.46572000000003,TRUE
"43","Weah Village",0,NA,-7.66229,4.47094,"Maryland","LR10","Pleebo/Sodoken","LR1006","Liberia","LR","LBR","LBR010","LBR010006",-7.66228999999993,4.47094000000004,TRUE
"44","Gyedebaken Old",0,NA,-7.56182,4.4768,"Maryland","LR10","Pleebo/Sodoken","LR1006","Liberia","LR","LBR","LBR010","LBR010006",-7.56181999999995,4.47680000000003,TRUE
"45","Witchoken Mission",0,NA,-7.69376,4.47909,"Maryland","LR10","Pleebo/Sodoken","LR1006","Liberia","LR","LBR","LBR010","LBR010006",-7.69375999999994,4.47909000000004,TRUE
"46","Witchoken Big Town",0,NA,-7.69105,4.47929,"Maryland","LR10","Pleebo/Sodoken","LR1006","Liberia","LR","LBR","LBR010","LBR010006",-7.69104999999996,4.47929000000005,TRUE
